Anklage "f, -n 控告, 谴责"
Ankunft "f, o.Pl 到达"
Anlage "f, -n 设备; 设置; 绿化设 施; 园林, (信函中)附件"
Anlass "m, ⸚(ss)e 动机; 原因; 理由; 机会"
anlassen "1. Vt 开动;穿在身上; 开着; 退火 2.+sich 显露"
Anlasser "m 起动器"
Anlauf "m, ⸚e (体)助跑; 起动, 加 速; 开始; 冲击"
Anleihe "f, -n 贷款, 借款; 债, 公债"
Anleitung "f, -en 指导, 引导; 指南, 说明"
Anliegen "n, - 比邻; 迫切的要求; 关切的事情"
Anmeldung "f, -en 通知, 通报; 报名, 报到; 报名处"
Anmerkung "f, -en 注释, 注解, 评 语, 说明"
Anmut "f 优雅, 优美, 妩媚"
Annahme "f, -n 接收, 收下; 收件 处; ; 采纳, 通过; 猜测, 假设"
Annonce "f, -n (报纸或杂志上的) 广告"
anonym "Adj 无名的，匿名的"
Anordnung "f, -en 指令, 命令; 整 理, 排列"
anorganisch "Adj 无机的, 跟非生物 体有关的; 不按(自然)规律产生的"
Anrede "f, -n 称呼, 称谓; 开场白"
Anregung "f, -en 激发; 建议; 促进, 推动"
anreichern "Vt 使丰富; 增加, 积聚"
Anreise "f, -n (到某地的)旅行; 到达"
Anreiz "m, -e 刺激, 诱惑; 鼓励, 促 进"
Anruf "m, -e 通(电)话"
Ansager "m, - 广播员, 报幕员"
ansässig "Adj 定居的"
Ansatz "m, ⸚e 开始, 征兆, 基本观点; 延长部分, "
Anschaffung "f, -en 购置(多指贵重 物品)"
anschaulich "Adj 明白的"
Anschauung "f, -en 注视; 观点, 见 解; 直接形象, 直觉"
Anschein "m 外表, 外观, 模样"
anscheinend "Adv 看来, 似乎"
Anschlag "m, ⸚e 打击, 按, 敲, 触; 拍打"
anschließend "Adv 接着"
Anschluss "m, ⸚(ss)e 连接,接通; 中转车, 联运车; 联合, 加入, 合并; 联系"
Anschrift "f, -en 通讯处"
Ansicht "f, -en 观点, 看法, 见解"
Ansichtspostkarte "f, -n 风景明信片"
ansonsten "Adv 此外, 在其他方 面; 否则, 在其他情况下"
Ansprache "f, -n 与......谈话; 打招呼, 称呼; 请求"
Anspruch "m, ⸚e 要求 etw. in Anspruch nehmen 占用,花费(时间等)"
anspruchsvoll "Adj 要求高的, 苛 求的; 奢华的"
Anstalt "f, -en 机构, 机关; 企业; 学 校, 学院"
Anstand "m礼貌, 礼仪, 规矩; 迟 疑, 异议"
anständig "Adj 正派的, 规矩的"
anstatt "+ G Präp 代替 ......"
Anstoß "m, ⸚e 推动, 撞击; 反感, 激 怒; (足球)开球"
anstrengend "P.I 紧张的, 费力的"
Anstrengung "f, -en 尽力, 费力; 紧 张, 劳累"
Anstrich "m, ⸚e 着色, 涂色; 油漆, 粉刷"
Antarktika "f 南极洲"
antarktisch "Adj 南极的"
Anteil "m, -e 1. 份额 2. o. Pl 参与, 关心"
Anteilnahme "f, -n 关心, 同意"
Antenne "f, -n 天线"
anthroposophisch "Adj 人智说的"
antik "Adj 古代的, 古老的"
Antike "f, -n 古希腊罗马及其艺 术文化"
Antikörper "m,- 抗体"
Antiquariat "n, -e 旧书店; 旧书业"
Antiquität "f, -en 古玩"
Antisemitismus "m 反犹太主义"
Antlitz "n, -e 面庞"
Antrag "m, ⸚e 申请, 申请书;提议; 求婚 einen Antrag stellen 提出申请"
Antrieb "m, -e 推动力, 动力"
Antritt "m, -e 就位;开始; 继承"
Antwort "f, -en 回答, 答复, 回信"
antworten "(+ D) (+ auf A) 回答, 答复, 回信"
Anwalt "m, ⸚e 律师"
Anweisung "f, -en 规定; 说明; 分配; 汇票"
Anwendung "f, -en (auf + A) 使用, 应用"
anwesend "Adj 在场的, 出席的"
Anwesenheit "f 出席, 在场;存在"
Anwesenheitskontrolle "f 考勤"
Anzahl "f, o. Pl 数目, 数量"
Anzeichen "n, - 记号; 预兆; 病状"
Anzeige "f, -n 通告, 广告"
Anziehungskraft "f, ⸚e 引力, 重力"
Anziehungspunkt "m 吸引人的场 所"
Anzug "m, ⸚e (男)西服, 套装"
Autorennen "n 汽车比赛"
Apfel "m, ⸚ 苹果"
Apfelsine "f, -n 甜橙"
Apotheke "f, -n 药房"
Apparat "m, -e 仪器, 装置; 相机, 收音机, 电话机"
Appartement "n, -s 一套公寓"
appellieren "1.Vi +an A 呼吁, 上诉 2.Vt 召集, 点名"
Appendizitis "f 阑尾炎"
Appetit "m, -e 食欲, 胃口 Guten Appetit! (祝您)胃口好!"
Applaus "m, -e 鼓掌, 欢呼"
Aprikose "f, -n 杏"
April "m, -e 四月"
Äquator "m 赤道"
Äquivalent "Adj 等价物"
Ära "f, Ären 时代, 代"
Arabisch 阿拉伯语
Arbeit "f, -en o. Pl 劳动, 工作; 职 业; (书面)作业; 试题; 论文"
arbeiten "劳动, 工作"
Arbeitende "m, -n 工作者"
Arbeiter "m, - 工人"
Arbeiterbewegung "f, -en 工人运动"
Arbeiterklasse "f 工人阶级"
Arbeitgeber "m, - 雇主"
Arbeitnehmer "m, - 雇员, 工人"
Arbeitsamt "n 劳动局, 劳工局"
Arbeitsaufwand "m 付出劳动"
Arbeitsgang "m 工作过程, 工作进程; 工序, 操作程序"
Arbeitsgruppe "f 生产组"
Arbeitskraft "f, ⸚e 劳力,精力, 工人"
arbeitslos "Adj 失业的"
Arbeitslose "m/f (dekl. wie Adj) 失业 者"
Arbeitslosigkeit "f 失业"
Arbeitsmarkt "m, ⸚e 劳动力市场"
Arbeitsplatz "m, ⸚e 工作场所"
Arbeitsstätte "f, -n 工作场所"
Arbeitsstelle "f, -n 工作场所, 工作岗 位"
Arbeitstag "m -e 工作日"
Arbeitsteilung "f 分工"
Arbeitsverhältnis "n, -se 雇佣关系; 劳动条件"
Arbeitsvorgang "m, ⸚e 工作流程"
Arbeitsweise "f, -n 工作方式"
Arbeitszeit "f, -en 劳动时间"
Archäologe "m, -n 考古学家"
Archäologie "f 考古学"
Archäologisch "Adj 考古学的"
Architekt "n, -en (弱变化)建筑师"
Architektur "f, -en 建筑艺术"
Archiv "n, -e 档案: 档案室"
Areal "n, -e 地面, 面积"
Arena "f , ..nen (古罗马的)竞技 场; 运动场, 马戏场, 政治舞台"
arg "Adj 坏的;讨厌的"
Argentinien 阿根廷
Ärger "m 麻烦, 不快"
ärgerlich "Adj 出气的"
ärgern "1. Vt 使恼火 2. + sich 生 气, 恼火"
Ärgernis "n, -se 不快, 恼人的事"
Argument "n, -e 论据, 论证"
Argumentation "f, -en 推论"
argumentieren "Vi (+mit D/+über A) 推论, 论证,阐 明理由"
Argwohn "m 猜疑"
arktisch "Adj 北极的, 北极区的"
arm "Adj 贫穷的; 可怜的; + an (D) 缺乏的"
Arm "m, -e (胳)臂"
Armee "f, -n 军队"
Ärmel "m, - 袖子"
Armut "f, o. Pl 贫穷; 贫乏"
arrangieren "1.Vt 按排,准备 2.+sich 改编"
arrogant "Adj 狂妄自大的,自负的"
Art "f, -en 方式, 式样; 品种, 种 类"
Artikel "m, - 文章, 商品, 物品; 冠 词; 条款"
Arznei "f, -en 药(品)"
Arzt "m, ⸚e 医生 zum Arzt gehen 去看病"
ärztlich "Adj 医疗的"
Asche "f, -n 灰烬; 遗骸"
asiatisch "Adj 亚洲的"
Asien 亚洲
Aspekt "m, -e 观点; 动词的体;外表; 星宿"
Assistent "m, -en 助手; 助教"
Assoziation "f, -en 联合; 协会; 联想"
Ast "m, ⸚e (树木的)粗枝;节瘤; 分枝"
Ästhetik "f 美学"
ästhetisch "Adj 美学的"
Astronaut "m, -en 宇宙航行员"
Astronomie "f, o. Pl 天文学"
astronomisch "Adj 天文学的, 天体学 的; 极大的, 大得不可想象的"
Asyl "n, -e 避难; 避暑所"
Asylant "m, -en (弱变化)避难 者"
Atem "m, o. Pl 呼吸"
Atlantik "m 大西洋"
atlantisch "Adj 大西洋的"
Atlas "m, -se 地图册"
atmen "Vt 呼吸"
Atmosphäre "f, -n 大气; 气氛"
atmosphärisch "Adj 大气的"
Atom "n, -e 原子"
atomar "Adj 原子的"
Atomenergie "f 原子能"
Atomhülle "f, -n 原子(外)壳"
Atombombe "f, -n 原子弹"
Atomspaltung "f, -en 原子分裂"
Atomuhr "f 原子钟"
Attaché "m, -s 专员"
Attacke "f, -n 攻击; 突击; 疾病发作"
Attentat "n, -e 暗杀，行刺"
attraktiv "Adj 吸引人的"
Attribut "n, -e 定语; 特征"
auch "Adv / Konj 1. 也, 同样 2. 就 是, 甚至 ......也"
auf "+ D / + A Präp 1. 在 ......上面, 到 ......上面 2. 以 ......方式"
auf/arbeiten "Vi 清理, 加工"
auf/bauen "1.Vt 建筑, 建设,建立2.+sich 形成 3.Vi +auf D以 ......为 基础"
auf/bewahren "Vt 保存, 储藏"
auf/brechen "(bricht auf, brach auf, ist /hat aufgebrochen) 1. Vi 动身 2. Vt 撬开"
auf/bringen "Vt 筹措, 征募;打开, 传播，拿出"
auf/erlegen "Vt 让某人接受某 事,让某人承担"
auf/essen "Vt 吃光"
auf/fallen "Vi (fällt auf, fiel auf, ist aufgefallen) 引起 ......注意"
auf/fassen "Vt 理解, 领会"
auf/finden "Vt 找到, 发现"
auf/flammen "Vi 燃起来, 亮起来"
auf/fordern "Vt + zu 要求, 请求"
auf/führen "Vt 演出, 上演"
